group_collapsed,sec,HR_mean
VR,148,82.887342775785
VR,149,82.4184110714839
VR,150,81.91287752298209
VR,151,81.9786890726823
VR,152,82.46301591946529
VR,153,82.77858318915735
VR,154,82.70294427504906
VR,155,82.03635783195494
VR,156,81.25795459747314
VR,157,81.26837464112502
VR,158,81.2243513914255
VR,159,80.9134930243859
VR,160,81.29639218036945
VR,161,82.54909184896029
VR,162,82.8044428898738
VR,163,83.79874707001906
VR,164,83.32367360041691
VR,165,82.46437344551086
VR,166,82.13880329865675
VR,167,81.98869437437791
VR,168,82.0373750613286
VR,169,82.77797765365014
VR,170,84.04525744731609
VR,171,85.157638832239
VR,172,85.16072861598089
VR,173,85.16857858804556
VR,174,84.49472107153672
VR,175,84.71500361149128
VR,176,85.1092766394982
VR,177,85.91145709111142
VR,178,84.63686367181631
VR,179,82.59196564601017
VR,180,81.66636612965512
VR,181,81.7854808293856
VR,182,82.50075793633094
VR,183,83.39019241333008
VR,184,84.03279911921574
VR,185,85.4320152576153
VR,186,84.88116044998168
VR,187,82.36860175866347
VR,188,81.67097250498259
VR,189,81.57823632680453
VR,190,81.13451776137718
VR,191,81.73076204886803
VR,192,82.26640429129968
VR,193,83.55217864696796
VR,194,84.24623561272254
VR,195,84.37886496323806
VR,196,84.3878570850079
VR,197,84.25796698056735
VR,198,84.33012412511385
VR,199,84.46624343945429
VR,200,84.74880363757794
VR,201,84.4674144268036
VR,202,84.15430142696087
VR,203,84.1319703909067
VR,204,84.39397186866174
VR,205,84.6418423139132
VR,206,84.49784066860492
VR,207,84.02676748862633
VR,208,83.86720121457027
VR,209,84.32078120891865
VR,210,84.61820441025954
VR,211,84.14400474108183
VR,212,84.01784370128925
VR,213,83.95392761964065
VR,214,83.87854456167955
VR,215,83.87341561317444
VR,216,83.89846911797157
VR,217,84.12708941973173
VR,218,84.21151018876296
VR,219,83.84544686537522
VR,220,83.32593710972712
VR,221,82.75564318436842
VR,222,81.80384270227873
VR,223,82.13608752397391
VR,224,82.24682725392856
VR,225,81.8503172507653
VR,226,82.4888099340292
VR,227,82.57743310832659
VR,228,82.82855892562866
VR,229,82.60760983657838
VR,230,83.13096686601638
VR,231,83.36998253663381
VR,232,82.87355055411656
VR,233,82.90874314380414
VR,234,83.6769699221072
VR,235,83.4718568055526
VR,236,83.18720934494682
VR,237,83.67351202757462
VR,238,84.35565931071406
VR,239,84.58889343842216
