group,sec,MOTION_mean
conventional,101,0.07623118231339111
conventional,102,0.03210724287976818
conventional,103,0.05344650033151816
conventional,104,0.04238771894680598
conventional,105,0.03102958939437352
conventional,106,0.04261864437943409
conventional,107,0.03328753067623998
conventional,108,0.03155986367769181
conventional,109,0.023999180697968997
conventional,110,0.04659570051978029
conventional,111,0.05038459471293856
conventional,112,0.08235499206930397
conventional,113,0.0660191275622873
conventional,114,0.04389301325593672
conventional,115,0.03959095069162898
conventional,116,0.047391111731883984
conventional,117,0.04486803353010186
conventional,118,0.029242052297506982
conventional,119,0.044799610661963585
conventional,120,0.06630137107734166
conventional,121,0.060169007975075905
conventional,122,0.06001505719586494
conventional,123,0.05279648663210012
conventional,124,0.06365855330867423
conventional,125,0.03601587648902617
conventional,126,0.029738115306411423
conventional,127,0.06382105730119203
conventional,128,0.08127733899191729
conventional,129,0.08312474629353907
conventional,130,0.06542043231782457
conventional,131,0.04253311659253776
conventional,132,0.01585690700227302
conventional,133,0.03327897802172669
conventional,134,0.05015366885456298
conventional,135,0.05242016354487053
conventional,136,0.0512313226503985
conventional,137,0.031388807261273945
conventional,138,0.02645383682101962
conventional,139,0.025743953892517612
conventional,140,0.04621082462725182
conventional,141,0.043644981600698934
conventional,142,0.06828562282025812
conventional,143,0.05960452281648202
conventional,144,0.03933436668344903
conventional,145,0.06865339353680608
conventional,146,0.024674852715716445
conventional,147,0.0682172007415266
conventional,148,0.06869615822853074
conventional,149,0.12153540699787077
conventional,150,0.03523757087865043
conventional,151,0.019183949549638056
conventional,152,0.02527354925516102
conventional,153,0.05084644634099229
conventional,154,0.07748844481649848
conventional,155,0.09059989973015725
conventional,156,0.07747989174510748
conventional,157,0.08464714590282664
conventional,158,0.06329078322187774
conventional,159,0.07350283547171524
conventional,160,0.03908633479759806
conventional,161,0.049503655980030675
conventional,162,0.07171529953678446
conventional,163,0.08332146160481939
conventional,164,0.06917511469551492
conventional,165,0.0729383501445963
conventional,166,0.02647094264449105
conventional,167,0.08498925852278866
conventional,168,0.028583485943575668
conventional,169,0.022750470920332815
conventional,170,0.035134937268282644
conventional,171,0.02648804812204266
conventional,172,0.03155986338499044
conventional,173,0.04574897261779928
conventional,174,0.026975558183732446
conventional,175,0.03345003432283795
conventional,176,0.03449347666686485
conventional,177,0.02735188190071352
conventional,178,0.0313717015797183
conventional,179,0.03002035787240377
conventional,180,0.04704899991906821
conventional,181,0.03445071244523635
conventional,182,0.029567059014169925
conventional,183,0.08417674060023964
conventional,184,0.09655265485246975
conventional,185,0.05465244571013107
conventional,186,0.04101071645993559
conventional,187,0.05705578564887951
conventional,188,0.05524258990550321
conventional,189,0.03718761137376225
conventional,190,0.02697555799746794
conventional,191,0.04687794385743988
conventional,192,0.05326689106545275
conventional,193,0.024366951423386702
conventional,194,0.04001859099205047
conventional,195,0.047964150423095306
conventional,196,0.040634393044525624
conventional,197,0.07772792348017292
conventional,198,0.07004750091582532
conventional,199,0.06800337958903536
conventional,200,0.03110656467754213
conventional,201,0.026787396236544532
conventional,202,0.018824731682737645
conventional,203,0.08779457855437481
conventional,204,0.10417320551794199
conventional,205,0.09302034379825705
conventional,206,0.0537544004353029
conventional,207,0.07319493480913693
conventional,208,0.04800691413914871
conventional,209,0.043277211185722086
conventional,210,0.09684344989558061
conventional,211,0.041763364080162235
