group_collapsed,sec,PVA_mean
VR,122,19.41960172034227
VR,123,18.946393429316007
VR,124,18.434066011355473
VR,125,18.244411514355587
VR,126,18.063820722699166
VR,127,18.258922632382465
VR,128,18.771531834281408
VR,129,18.93657831595494
VR,130,19.02531222609373
VR,131,19.10535826453796
VR,132,18.960646131634714
VR,133,19.03385946200444
VR,134,18.811331858084753
VR,135,18.95942533635176
VR,136,19.47165889946314
VR,137,19.991593742141358
VR,138,19.468418296254598
VR,139,19.81025179991355
VR,140,21.809359271709734
VR,141,20.79693803512133
VR,142,20.030172667824306
VR,143,19.515051095990035
VR,144,19.103503234111347
VR,145,18.76012024627282
VR,146,18.907203979675586
VR,147,18.71776095766288
VR,148,18.663895951326076
VR,149,18.13224383340432
VR,150,18.55318394761819
VR,151,19.015168590729054
VR,152,19.78064238704168
VR,153,20.21818354496589
VR,154,20.18319721336548
VR,155,20.44057016005883
VR,156,20.233469465604195
VR,157,20.113553118935002
VR,158,19.905912476778028
VR,159,20.655560264220604
VR,160,20.491546913293693
VR,161,20.785855271953803
VR,162,21.17887674203286
VR,163,21.219498441998777
VR,164,22.317647986228646
VR,165,22.390696762846066
VR,166,22.05745772100412
VR,167,21.393960725114898
VR,168,20.9808631337606
VR,169,20.792453156526275
VR,170,20.697590754353083
VR,171,20.824574880645823
VR,172,21.004790062170763
VR,173,20.66589176242168
VR,174,21.06656803511656
VR,175,20.854841967041676
VR,176,21.091129136773255
VR,177,21.30109418263802
VR,178,21.026791604207116
VR,179,21.648116889825232
VR,180,21.501643758782976
VR,181,21.33802961432017
VR,182,21.00394477064793
VR,183,21.082041924504132
VR,184,21.370080631054364
VR,185,22.70221640123771
VR,186,22.87217052991574
VR,187,22.07264967744167
VR,188,22.16011535204374
VR,189,23.066286212664384
VR,190,22.920517332737266
VR,191,22.647294972951595
VR,192,22.465271880534978
VR,193,22.491030390904502
VR,194,22.199446051395856
VR,195,22.100826458289074
VR,196,21.68775251828707
VR,197,21.291819361539986
VR,198,21.458885184388897
VR,199,22.0564948283709
VR,200,22.63088189925139
VR,201,22.778998678464156
VR,202,22.51744616169196
VR,203,21.859443955467295
VR,204,21.940945761937364
VR,205,22.2514089265695
VR,206,21.879332303542355
VR,207,22.25965054539534
VR,208,22.007138091325764
VR,209,22.697943097811482
VR,210,23.07100613667415
VR,211,23.32840247635658
VR,212,22.791185188981203
VR,213,22.75551788554742
VR,214,22.998215366097597
VR,215,23.413919552243673
VR,216,22.91960170865059
VR,217,22.61982248723507
VR,218,22.738541421523465
VR,219,22.86409312899296
VR,220,23.460364386210074
VR,221,23.182304848157443
VR,222,22.88853666965778
VR,223,22.576664723341285
VR,224,21.861580651998523
VR,225,20.366629001268976
VR,226,20.32887194981942
VR,227,20.196028848854592
VR,228,19.913968273162844
VR,229,20.6275213599205
VR,230,20.16804027805726
VR,231,22.23717961361011
VR,232,22.696148821711542
VR,233,21.426892625292144
VR,234,21.128815510998603
VR,235,20.422545993068944
VR,236,20.38400479477385
VR,237,20.66228700928066
VR,238,20.951850175339242
VR,239,21.077480514671493
