group_collapsed,sec,MOTION_mean
Conventional,94,0.024264317644493893
Conventional,95,0.022297171840355484
Conventional,96,0.026043301927191835
Conventional,97,0.01967145985081078
Conventional,98,0.031174986836101305
Conventional,99,0.03859027189513045
Conventional,100,0.05920253975228182
Conventional,101,0.07623118231339111
Conventional,102,0.03210724287976818
Conventional,103,0.05344650033151816
Conventional,104,0.04238771894680598
Conventional,105,0.03102958939437352
Conventional,106,0.04261864437943409
Conventional,107,0.03328753067623998
Conventional,108,0.03155986367769181
Conventional,109,0.023999180697968997
Conventional,110,0.04659570051978029
Conventional,111,0.05038459471293856
Conventional,112,0.08235499206930397
Conventional,113,0.0660191275622873
Conventional,114,0.04389301325593672
Conventional,115,0.03959095069162898
Conventional,116,0.047391111731883984
Conventional,117,0.04486803353010186
Conventional,118,0.029242052297506982
Conventional,119,0.044799610661963585
Conventional,120,0.06630137107734166
Conventional,121,0.060169007975075905
Conventional,122,0.06001505719586494
Conventional,123,0.05279648663210012
Conventional,124,0.06365855330867423
Conventional,125,0.03601587648902617
Conventional,126,0.029738115306411423
Conventional,127,0.06382105730119203
Conventional,128,0.08127733899191729
Conventional,129,0.08312474629353907
Conventional,130,0.06542043231782457
Conventional,131,0.04253311659253776
Conventional,132,0.01585690700227302
Conventional,133,0.03327897802172669
Conventional,134,0.05015366885456298
Conventional,135,0.05242016354487053
Conventional,136,0.0512313226503985
Conventional,137,0.031388807261273945
Conventional,138,0.02645383682101962
Conventional,139,0.025743953892517612
Conventional,140,0.04621082462725182
Conventional,141,0.043644981600698934
Conventional,142,0.06828562282025812
Conventional,143,0.05960452281648202
Conventional,144,0.03933436668344903
Conventional,145,0.06865339353680608
Conventional,146,0.024674852715716445
Conventional,147,0.0682172007415266
Conventional,148,0.06869615822853074
Conventional,149,0.12153540699787077
Conventional,150,0.03523757087865043
Conventional,151,0.019183949549638056
Conventional,152,0.02527354925516102
Conventional,153,0.05084644634099229
Conventional,154,0.07748844481649848
Conventional,155,0.09059989973015725
Conventional,156,0.07747989174510748
Conventional,157,0.08464714590282664
Conventional,158,0.06329078322187774
Conventional,159,0.07350283547171524
Conventional,160,0.03908633479759806
Conventional,161,0.049503655980030675
Conventional,162,0.07171529953678446
Conventional,163,0.08332146160481939
Conventional,164,0.06917511469551492
Conventional,165,0.0729383501445963
Conventional,166,0.02647094264449105
Conventional,167,0.08498925852278866
Conventional,168,0.028583485943575668
Conventional,169,0.022750470920332815
Conventional,170,0.035134937268282644
Conventional,171,0.02648804812204266
Conventional,172,0.03155986338499044
Conventional,173,0.04574897261779928
Conventional,174,0.026975558183732446
Conventional,175,0.03345003432283795
Conventional,176,0.03449347666686485
Conventional,177,0.02735188190071352
Conventional,178,0.0313717015797183
Conventional,179,0.03002035787240377
Conventional,180,0.04704899991906821
Conventional,181,0.03445071244523635
Conventional,182,0.029567059014169925
Conventional,183,0.08417674060023964
Conventional,184,0.09655265485246975
Conventional,185,0.05465244571013107
Conventional,186,0.04101071645993559
Conventional,187,0.05705578564887951
Conventional,188,0.05524258990550321
Conventional,189,0.03718761137376225
Conventional,190,0.02697555799746794
Conventional,191,0.04687794385743988
Conventional,192,0.05326689106545275
Conventional,193,0.024366951423386702
Conventional,194,0.04001859099205047
Conventional,195,0.047964150423095306
Conventional,196,0.040634393044525624
Conventional,197,0.07772792348017292
Conventional,198,0.07004750091582532
