group,sec,SCL_mean
conventional,117,3.329297573678195
conventional,118,3.4158795354887843
conventional,119,3.499590865895152
conventional,120,3.5658303176984187
conventional,121,3.5981036491692064
conventional,122,3.5827395098283885
conventional,123,3.5490785313770177
conventional,124,3.510329547524452
conventional,125,3.455858786031604
conventional,126,3.4116021913476287
conventional,127,3.393653480056673
conventional,128,3.3838541666045785
conventional,129,3.3881935235112906
conventional,130,3.4566789630800487
conventional,131,3.4789527028799054
conventional,132,3.4678993029519916
conventional,133,3.44348449036479
conventional,134,3.4159844402223825
conventional,135,3.3807212613523006
conventional,136,3.349845119845122
conventional,137,3.3431167287752035
conventional,138,3.3456774389371278
conventional,139,3.3290400695987046
conventional,140,3.321467660367489
conventional,141,3.32276470400393
conventional,142,3.313880966976285
conventional,143,3.327642913442105
conventional,144,3.3983314160257576
conventional,145,3.18350016772747
conventional,146,3.2076043365257125
conventional,147,3.21825858610017
conventional,148,3.1951626139027733
conventional,149,3.1888354576059754
conventional,150,3.2000183231064248
conventional,151,3.197854763695172
conventional,152,3.1843830168247225
conventional,153,3.1507363729178905
conventional,154,3.113836208730936
conventional,155,3.0925386579973355
conventional,156,3.1125500825898986
conventional,157,3.1880779502647263
conventional,158,3.25779095100505
conventional,159,3.243523535132408
conventional,160,3.211119412098612
conventional,161,3.176202976065022
conventional,162,3.153156057213034
conventional,163,3.1471014048372
conventional,164,3.1262724955167087
conventional,165,3.083241417258978
conventional,166,3.045523796124118
conventional,167,3.044613710471562
conventional,168,3.0739441983401776
conventional,169,3.105165648034641
conventional,170,3.1113347734723775
conventional,171,3.0890562772750854
conventional,172,3.060995563864708
conventional,173,3.0570936073149957
conventional,174,3.071153907264982
conventional,175,3.052728351312024
conventional,176,3.0245041796139307
conventional,177,3.0399160312754767
conventional,178,3.0599764998470036
conventional,179,3.046221375678267
conventional,180,3.0248856558331423
conventional,181,2.997898579069546
conventional,182,2.9942036637238094
conventional,183,3.018542167650802
conventional,184,2.9898929224482607
conventional,185,2.9899474175912992
conventional,186,3.0956341175096376
conventional,187,3.1514829544084413
conventional,188,3.1652871616184712
conventional,189,3.1559354099844183
conventional,190,3.1368994974664277
conventional,191,3.1342345847615176
conventional,192,3.1331664348287243
conventional,193,3.156000818950789
conventional,194,3.1429378126348766
conventional,195,3.113596457242966
conventional,196,3.0858790908540996
conventional,197,3.0689140775374
conventional,198,3.0800206261021748
conventional,199,3.08987372475011
conventional,200,3.0806037170546396
conventional,201,3.073290200850793
conventional,202,3.070805128131594
conventional,203,3.0703909473759787
conventional,204,3.047807260709149
conventional,205,3.0375235981174877
conventional,206,3.0457744848515307
conventional,207,3.0673445395060948
conventional,208,3.120691981273038
conventional,209,3.155096159023898
conventional,210,3.1679793253540995
conventional,211,3.166813092785222
conventional,212,3.1555266858211586
conventional,213,3.097432522262846
conventional,214,3.060499679084335
conventional,215,3.033300049177238
conventional,216,3.0740640595555306
conventional,217,3.0618185352001865
conventional,218,3.079993376561574
conventional,219,3.1136236853897574
conventional,220,3.100631517384733
conventional,221,3.078276717982122
conventional,222,3.0607503550393242
conventional,223,3.037861466407776
conventional,224,3.019010856109006
conventional,225,3.0343137095017094
conventional,226,3.0713337410773547
conventional,227,3.0650665530136654
conventional,228,3.038052233840738
conventional,229,3.0137354925274846
conventional,230,2.988628586275237
conventional,231,2.967527213054044
conventional,232,2.948311454483441
conventional,233,2.942044258011239
conventional,234,2.973140440029757
conventional,235,3.0139589437416623
conventional,236,3.0192342907190324
conventional,237,3.0075391688517166
conventional,238,3.0317795976996424
conventional,239,3.017326880672148
vr_high,0,1.7670471429824826
vr_high,1,1.8312631612022718
vr_high,2,1.8701233903566996
vr_high,3,1.9025874803463616
vr_high,4,1.9194743489225703
vr_high,5,1.9384467015663784
vr_high,6,1.937556598087152
vr_high,7,1.907012650370598
vr_high,8,1.8534526581565538
vr_high,9,1.8368454972902934
vr_high,10,1.8281858811775844
vr_high,11,1.829622786740462
vr_high,12,1.8095187221964197
vr_high,13,1.793280327320099
vr_high,14,1.7887661313017211
vr_high,15,1.778962054848671
vr_high,16,1.7693741813302042
vr_high,17,1.7599007184306779
vr_high,18,1.7521566266814865
vr_high,19,1.7468922083576517
vr_high,20,1.7419074808557824
vr_high,21,1.7350408499439558
vr_high,22,1.7330952922503158
vr_high,23,1.7289244070649143
vr_high,24,1.7285683651765191
vr_high,25,1.7486724520723023
vr_high,26,1.7560096080104513
vr_high,27,1.7480366468429567
vr_high,28,1.715241960187753
vr_high,29,1.6435234611233076
vr_high,30,1.6990417232116064
vr_high,31,1.7576245437065763
vr_high,32,1.7688782413800557
vr_high,33,1.7671997159719466
vr_high,34,1.7611723199486733
vr_high,35,1.7496388609210651
vr_high,36,1.740648617843787
vr_high,37,1.7453281243642171
vr_high,38,1.7599134316047034
vr_high,39,1.752487257619699
vr_high,40,1.7352951685587568
vr_high,41,1.7230368922154107
vr_high,42,1.7168568973739944
vr_high,43,1.7165898601214096
vr_high,44,1.712622449795405
vr_high,45,1.7050564080476762
vr_high,46,1.696841841439406
vr_high,47,1.6900896261135738
vr_high,48,1.6833755513032278
vr_high,49,1.67509739647309
vr_high,50,1.6684596161047616
vr_high,51,1.6625212247172991
vr_high,52,1.6554511348406475
vr_high,53,1.6481139610211055
vr_high,54,1.6400774200757346
vr_high,55,1.6347875356674193
vr_high,56,1.6329310059547424
vr_high,57,1.6302224829792975
vr_high,58,1.6020564357439675
vr_high,59,1.5412991697589558
vr_high,60,1.5218181863427163
vr_high,61,1.5165156011780105
vr_high,62,1.50901312182347
vr_high,63,1.5017395491401355
vr_high,64,1.491528576115767
vr_high,65,1.480185854434967
vr_high,66,1.4811522831519444
vr_high,67,1.4933724065621694
vr_high,68,1.510475488007069
vr_high,69,1.5182704170544945
vr_high,70,1.510450040300687
vr_high,71,1.5015869523088137
vr_high,72,1.4938301647702854
vr_high,73,1.4858953555425007
vr_high,74,1.4773247266809146
vr_high,75,1.4699875906109812
vr_high,76,1.4632989446322124
vr_high,77,1.4562288423379262
vr_high,78,1.4490824123223625
vr_high,79,1.4426735162734985
vr_high,80,1.436073904732863
vr_high,81,1.4286350145936015
vr_high,82,1.422633019586404
vr_high,83,1.4163385758797329
vr_high,84,1.409955137471358
vr_high,85,1.4042964890599248
vr_high,86,1.3976460069417953
vr_high,87,1.4026052698493006
vr_high,88,1.418284138540427
vr_high,89,1.4167836715777715
vr_high,90,1.4107180992762247
vr_high,91,1.4039658804734547
vr_high,92,1.391211694975694
vr_high,93,1.3946958690881728
vr_high,94,1.4176992058753968
vr_high,95,1.424108118812243
vr_high,96,1.4305296853184701
vr_high,97,1.4387696971495947
vr_high,98,1.4320174768567087
vr_high,99,1.420979962249597
vr_high,100,1.4125746394197147
vr_high,101,1.4065472359458606
vr_high,102,1.4140242705742516
vr_high,103,1.4353109339872996
vr_high,104,1.444847975174586
vr_high,105,1.4366715500752132
vr_high,106,1.4249346474806466
vr_high,107,1.4172032594680786
vr_high,108,1.4117989465594292
vr_high,109,1.4074882095058758
