subject_id,session_type,method,signal,epoch,duration_s,HR_est_bpm,peak_count,HR_mean,HR_std,Motion_mean,Motion_p95,PVA_mean,PVA_std,SCL_mean,SCL_slope_per_min,SCR_pos_area,SCR_mean
4,meditation,custom,BVP,3,59.974999999999994,110.04585243851606,110.0,,,,,,,,,,
4,meditation,custom,BVP,4,59.97500000000002,202.0842017507294,202.0,,,,,,,,,,
4,meditation,custom,BVP,5,59.97500000000002,158.065860775323,158.0,,,,,,,,,,
4,meditation,custom,BVP,6,14.675000000000011,204.4293015332196,50.0,,,,,,,,,,
4,meditation,custom,HR,0,59.975,,,71.42615361054739,13.73541708392198,,,,,,,,
4,meditation,custom,HR,1,59.974999999999994,,,80.54699927330017,4.3171494977116085,,,,,,,,
4,meditation,custom,HR,2,59.974999999999994,,,78.73152609189351,4.97752840261577,,,,,,,,
4,meditation,custom,HR,3,59.974999999999994,,,79.67828309059144,2.795898633200281,,,,,,,,
4,meditation,custom,HR,4,59.97500000000002,,,84.02707309087117,5.135866518584506,,,,,,,,
4,meditation,custom,HR,5,59.97500000000002,,,81.41731219450632,6.87815908605499,,,,,,,,
4,meditation,custom,HR,6,14.675000000000011,,,81.18231947243619,3.8261951996391077,,,,,,,,
4,meditation,custom,MOTION,0,59.975,,,,,0.03795437081096073,0.2011620551347732,,,,,,
4,meditation,custom,MOTION,1,59.974999999999994,,,,,0.01076755828224122,0.0790279507637023,,,,,,
4,meditation,custom,MOTION,2,59.974999999999994,,,,,0.004089097765584784,0.0,,,,,,
4,meditation,custom,MOTION,3,59.974999999999994,,,,,9.579145660003017e-05,0.0,,,,,,
4,meditation,custom,MOTION,4,59.97500000000002,,,,,0.0026492324937134964,0.0,,,,,,
4,meditation,custom,MOTION,5,59.97500000000002,,,,,0.02708802712460359,0.2658212780952453,,,,,,
4,meditation,custom,MOTION,6,14.675000000000011,,,,,0.00683002850534964,0.0574748739600181,,,,,,
4,meditation,custom,PVA,0,59.975,,,,,,,9.808811470071475,3.228641426314341,,,,
4,meditation,custom,PVA,1,59.974999999999994,,,,,,,4.626943465371927,1.2431267136316912,,,,
4,meditation,custom,PVA,2,59.974999999999994,,,,,,,5.273707770804564,1.3834199432799148,,,,
4,meditation,custom,PVA,3,59.974999999999994,,,,,,,7.360927900473277,0.7993418031748082,,,,
4,meditation,custom,PVA,4,59.97500000000002,,,,,,,5.747944678465525,0.9897363835009844,,,,
4,meditation,custom,PVA,5,59.97500000000002,,,,,,,7.253235586086909,1.3338589400752427,,,,
4,meditation,custom,PVA,6,14.675000000000011,,,,,,,6.433555030498375,1.2108497044762023,,,,
4,meditation,custom,SCL,0,59.975,,,,,,,,,3.6634914712111155,0.9090914005932567,,
4,meditation,custom,SCL,1,59.974999999999994,,,,,,,,,4.538168483575185,0.41345271028289887,,
